,MSSubClass,LotArea,OverallQual,OverallCond,Houseage,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
50,60,13869,6,6,24,0.1,182.0,612.0,794.0,794,1470,6,0.1,2.0,388.0,0.1,75.0,177000
51,50,6240,6,6,87,0.1,0.1,816.0,816.0,816,1176,6,1.0,2.0,528.0,112.0,0.1,114500
52,90,8472,5,5,58,0.1,104.0,0.1,816.0,816,816,5,0.1,2.0,516.0,106.0,0.1,110000
53,20,50271,9,5,40,0.1,1810.0,32.0,1842.0,1842,1842,5,1.0,3.0,894.0,857.0,72.0,385000
54,80,7134,5,5,66,0.1,384.0,0.1,384.0,1360,1360,6,1.0,2.0,572.0,0.1,50.0,130000
55,20,10175,6,5,57,272.0,490.0,935.0,1425.0,1425,1425,7,1.0,2.0,576.0,0.1,0.1,180500
56,160,2645,8,5,22,456.0,649.0,321.0,970.0,983,1739,7,0.1,2.0,480.0,115.0,0.1,172500
57,60,11645,7,5,17,0.1,0.1,860.0,860.0,860,1720,7,0.1,2.0,565.0,0.1,70.0,196500
58,60,13682,10,5,15,1031.0,0.1,1410.0,1410.0,1426,2945,10,1.0,3.0,641.0,192.0,0.1,438780
59,20,7200,5,7,49,0.1,632.0,148.0,780.0,780,780,4,0.1,1.0,352.0,196.0,0.1,124900
60,20,13072,6,5,17,0.1,941.0,217.0,1158.0,1158,1158,5,0.1,2.0,576.0,0.1,50.0,158000
61,75,7200,5,7,101,0.1,0.1,530.0,530.0,581,1111,6,0.1,1.0,288.0,0.1,0.1,101000
62,120,6442,8,5,15,178.0,24.0,1346.0,1370.0,1370,1370,6,1.0,2.0,484.0,120.0,49.0,202500
63,70,10300,7,6,100,0.1,0.1,576.0,576.0,902,1710,9,0.1,2.0,480.0,12.0,11.0,140000
64,60,9375,7,5,24,573.0,739.0,318.0,1057.0,1057,2034,8,0.1,2.0,645.0,576.0,36.0,219500
65,60,9591,8,5,17,344.0,0.1,1143.0,1143.0,1143,2473,9,1.0,3.0,852.0,192.0,151.0,317000
66,20,19900,7,5,51,287.0,912.0,1035.0,1947.0,2207,2207,7,1.0,2.0,576.0,301.0,0.1,180000
67,20,10665,7,5,18,167.0,1013.0,440.0,1453.0,1479,1479,7,0.1,2.0,558.0,144.0,29.0,226000
68,30,4608,4,6,76,0.1,0.1,747.0,747.0,747,747,4,0.1,1.0,220.0,0.1,0.1,80000
69,50,15593,7,4,68,0.1,603.0,701.0,1304.0,1304,2287,7,1.0,2.0,667.0,0.1,21.0,225000
70,20,13651,7,6,48,1115.0,1880.0,343.0,2223.0,2223,2223,8,2.0,2.0,516.0,300.0,0.1,244000
71,20,7599,4,6,39,0.1,565.0,280.0,845.0,845,845,4,0.1,2.0,360.0,0.1,0.1,129500
72,60,10141,7,5,23,40.0,0.1,832.0,832.0,885,1718,7,1.0,2.0,427.0,0.1,94.0,185000
73,20,10200,5,7,67,104.0,320.0,404.0,1086.0,1086,1086,6,0.1,2.0,490.0,0.1,0.1,144900
74,50,5790,3,6,106,0.1,0.1,840.0,840.0,840,1605,8,0.1,1.0,379.0,0.1,0.1,107400
75,180,1596,4,5,48,0.1,462.0,0.1,462.0,526,988,5,0.1,1.0,297.0,120.0,101.0,91000
76,20,8475,4,7,65,0.1,228.0,724.0,952.0,952,952,4,0.1,1.0,283.0,0.1,0.1,135750
77,50,8635,5,5,73,0.1,336.0,295.0,672.0,1072,1285,6,0.1,1.0,240.0,0.1,0.1,127000
78,90,10778,4,5,53,0.1,0.1,1768.0,1768.0,1768,1768,8,0.1,0.1,0.1,0.1,0.1,136500
79,50,10440,5,6,111,0.1,0.1,440.0,440.0,682,1230,5,0.1,2.0,440.0,74.0,0.1,110000
80,60,13000,6,6,53,576.0,448.0,448.0,896.0,1182,2142,8,1.0,1.0,509.0,0.1,72.0,193500
81,120,4500,6,5,23,443.0,1201.0,36.0,1237.0,1337,1337,5,0.1,2.0,405.0,0.1,199.0,153500
82,20,10206,8,5,14,468.0,33.0,1530.0,1563.0,1563,1563,6,1.0,3.0,758.0,144.0,99.0,245000
83,20,8892,5,5,61,66.0,0.1,1065.0,1065.0,1065,1065,6,0.1,2.0,461.0,74.0,0.1,126500
84,80,8530,7,5,26,22.0,0.1,384.0,384.0,804,1474,7,1.0,2.0,400.0,120.0,72.0,168500
85,60,16059,8,5,30,284.0,0.1,1288.0,1288.0,1301,2417,9,1.0,2.0,462.0,127.0,82.0,260000
86,60,11911,6,5,16,0.1,0.1,684.0,684.0,684,1560,6,1.0,2.0,400.0,100.0,38.0,174000
87,160,3951,6,5,12,76.0,0.1,612.0,612.0,612,1224,4,0.1,2.0,528.0,0.1,234.0,164500
88,50,8470,3,2,106,0.1,0.1,1013.0,1013.0,1013,1526,6,0.1,0.1,0.1,0.1,0.1,85000
89,20,8070,4,5,27,0.1,588.0,402.0,990.0,990,990,5,0.1,0.1,0.1,0.1,0.1,123600
90,20,7200,4,5,71,0.1,0.1,0.1,0.1,1040,1040,4,0.1,2.0,420.0,0.1,29.0,109900
91,20,8500,5,3,60,203.0,600.0,635.0,1235.0,1235,1235,6,0.1,2.0,480.0,0.1,0.1,98600
92,30,13360,5,7,100,0.1,713.0,163.0,876.0,964,964,5,0.1,2.0,432.0,0.1,0.1,163500
93,190,7200,6,6,111,0.1,1046.0,168.0,1214.0,1260,2291,9,1.0,2.0,506.0,0.1,0.1,133900
94,60,9337,6,5,24,0.1,648.0,176.0,824.0,905,1786,7,0.1,2.0,684.0,0.1,162.0,204750
95,60,9765,6,8,28,68.0,310.0,370.0,680.0,680,1470,6,1.0,2.0,420.0,232.0,63.0,185000
96,20,10264,7,5,22,183.0,1162.0,426.0,1588.0,1588,1588,6,0.1,2.0,472.0,158.0,29.0,214000
97,20,10921,4,5,56,48.0,520.0,440.0,960.0,960,960,6,0.1,1.0,432.0,120.0,0.1,94750
98,30,10625,5,5,101,0.1,108.0,350.0,458.0,835,835,5,0.1,1.0,366.0,0.1,0.1,83000
99,20,9320,4,5,62,0.1,569.0,381.0,950.0,1225,1225,6,0.1,0.1,0.1,352.0,0.1,128950
100,20,10603,6,7,44,28.0,1200.0,410.0,1610.0,1610,1610,6,2.0,2.0,480.0,168.0,68.0,205000
101,60,9206,6,5,36,336.0,0.1,741.0,741.0,977,1732,7,1.0,2.0,476.0,192.0,46.0,178000
102,90,7018,5,5,42,0.1,0.1,0.1,0.1,1535,1535,8,0.1,2.0,410.0,0.1,0.1,118964
103,20,10402,7,5,12,0.1,0.1,1226.0,1226.0,1226,1226,6,0.1,3.0,740.0,0.1,36.0,198900
104,50,7758,7,4,90,600.0,224.0,816.0,1040.0,1226,1818,7,2.0,1.0,240.0,0.1,0.1,169500
105,60,9375,8,5,18,768.0,0.1,1053.0,1053.0,1053,1992,9,1.0,2.0,648.0,140.0,45.0,250000
106,30,10800,4,7,136,0.1,0.1,641.0,641.0,1047,1047,6,0.1,1.0,273.0,0.1,0.1,100000
107,20,6000,5,5,73,0.1,104.0,516.0,789.0,789,789,5,0.1,1.0,250.0,0.1,0.1,115000
108,50,8500,5,7,102,0.1,0.1,793.0,793.0,997,1517,7,0.1,0.1,0.1,0.1,0.1,115000
109,20,11751,6,6,44,480.0,705.0,1139.0,1844.0,1844,1844,7,1.0,2.0,546.0,0.1,122.0,190000
110,50,9525,6,4,67,0.1,444.0,550.0,994.0,1216,1855,7,0.1,1.0,325.0,182.0,0.1,136900
111,80,7750,7,5,21,0.1,250.0,134.0,384.0,774,1430,7,1.0,2.0,400.0,180.0,0.1,180000
112,60,9965,7,5,14,220.0,984.0,280.0,1264.0,1282,2696,10,1.0,3.0,792.0,120.0,184.0,383970
113,20,21000,6,5,68,184.0,35.0,905.0,1809.0,2259,2259,7,2.0,2.0,450.0,166.0,120.0,217000
114,70,7259,6,8,76,0.1,774.0,104.0,1028.0,1436,2320,9,1.0,1.0,180.0,224.0,0.1,259500
115,160,3230,6,5,22,1129.0,419.0,310.0,729.0,729,1458,5,1.0,2.0,440.0,0.1,32.0,176000
116,20,11616,5,5,59,116.0,170.0,252.0,1092.0,1092,1092,6,1.0,1.0,288.0,0.1,20.0,139000
117,20,8536,5,5,15,0.1,0.1,1125.0,1125.0,1125,1125,5,0.1,2.0,430.0,80.0,64.0,155000
118,60,12376,7,5,31,0.1,1470.0,203.0,1673.0,1699,3222,11,2.0,3.0,594.0,367.0,0.1,320000
119,60,8461,6,5,16,0.1,0.1,728.0,728.0,728,1456,8,1.0,2.0,390.0,0.1,24.0,163990
120,80,21453,6,5,52,0.1,938.0,0.1,938.0,988,988,4,2.0,2.0,540.0,0.1,130.0,180000
121,50,6060,4,5,82,0.1,0.1,732.0,732.0,772,1123,4,0.1,1.0,264.0,0.1,0.1,100000
122,20,9464,6,7,63,135.0,570.0,510.0,1080.0,1080,1080,5,0.1,1.0,288.0,0.1,0.1,136000
123,120,7892,6,5,28,0.1,300.0,899.0,1199.0,1199,1199,5,0.1,2.0,530.0,0.1,63.0,153900
124,20,17043,6,5,42,0.1,0.1,1362.0,1362.0,1586,1586,7,1.0,2.0,435.0,192.0,0.1,181000
125,190,6780,6,8,86,0.1,490.0,30.0,520.0,520,754,5,0.1,0.1,0.1,53.0,0.1,84500
126,120,4928,6,5,45,0.1,120.0,958.0,1078.0,958,958,5,1.0,2.0,440.0,0.1,205.0,128000
127,45,4388,5,7,91,0.1,116.0,556.0,672.0,840,840,5,1.0,0.1,0.1,0.1,0.1,87000
128,60,7590,6,5,55,266.0,512.0,148.0,660.0,660,1348,6,1.0,2.0,453.0,188.0,108.0,155000
129,20,8973,5,7,63,85.0,567.0,413.0,1008.0,1053,1053,6,0.1,2.0,750.0,0.1,80.0,150000
130,60,14200,7,6,55,309.0,445.0,479.0,924.0,1216,2157,8,2.0,2.0,487.0,105.0,66.0,226000
131,60,12224,6,5,21,40.0,695.0,297.0,992.0,1022,2054,7,1.0,2.0,390.0,24.0,48.0,244000
132,20,7388,5,6,62,0.1,405.0,658.0,1063.0,1327,1327,7,0.1,2.0,624.0,0.1,0.1,150750
133,20,6853,8,5,20,136.0,1005.0,262.0,1267.0,1296,1296,6,0.1,2.0,471.0,192.0,25.0,220000
134,20,10335,5,6,53,0.1,570.0,891.0,1461.0,1721,1721,7,1.0,2.0,440.0,0.1,96.0,180000
135,20,10400,7,6,51,288.0,0.1,1304.0,1304.0,1682,1682,7,1.0,2.0,530.0,98.0,0.1,174000
136,20,10355,5,5,54,196.0,695.0,519.0,1214.0,1214,1214,5,1.0,1.0,318.0,0.1,111.0,143000
137,90,11070,7,5,33,70.0,0.1,1907.0,1907.0,1959,1959,9,0.1,3.0,766.0,0.1,0.1,171000
138,60,9066,8,5,22,320.0,668.0,336.0,1004.0,1004,1852,7,2.0,3.0,660.0,224.0,106.0,230000
139,60,15426,6,5,24,0.1,821.0,107.0,928.0,928,1764,7,0.1,2.0,470.0,276.0,99.0,231500
140,20,10500,4,5,50,0.1,432.0,432.0,864.0,864,864,5,1.0,0.1,0.1,0.1,0.1,115000
141,20,11645,7,5,16,0.1,1300.0,434.0,1734.0,1734,1734,7,0.1,2.0,660.0,160.0,24.0,260000
142,50,8520,5,4,69,0.1,507.0,403.0,910.0,910,1385,6,0.1,2.0,720.0,0.1,0.1,166000
143,20,10335,7,5,22,183.0,679.0,811.0,1490.0,1501,1501,6,0.1,2.0,577.0,144.0,29.0,204000
144,90,9100,5,5,58,336.0,1332.0,396.0,1728.0,1728,1728,10,0.1,2.0,504.0,0.1,0.1,125000
145,160,2522,6,5,17,50.0,0.1,970.0,970.0,970,1709,7,0.1,2.0,380.0,0.1,40.0,130000
146,30,6120,5,7,90,0.1,209.0,506.0,715.0,875,875,5,0.1,1.0,180.0,48.0,0.1,105000
147,60,9505,7,5,20,180.0,0.1,884.0,884.0,884,2035,8,1.0,2.0,434.0,144.0,48.0,222500
148,20,7500,7,5,17,120.0,680.0,400.0,1080.0,1080,1080,6,0.1,0.1,0.1,0.1,0.1,141000
149,50,6240,5,4,85,0.1,0.1,896.0,896.0,896,1344,7,0.1,1.0,240.0,200.0,114.0,115000
150,20,10356,5,6,46,0.1,716.0,253.0,969.0,969,969,5,0.1,2.0,440.0,0.1,0.1,122000
151,20,13891,8,5,14,436.0,1400.0,310.0,1710.0,1710,1710,6,1.0,3.0,866.0,0.1,102.0,372402
152,60,14803,6,5,50,252.0,416.0,409.0,825.0,1097,1993,8,1.0,2.0,495.0,0.1,66.0,190000
153,20,13500,6,7,61,0.1,429.0,93.0,1602.0,1252,1252,4,1.0,2.0,564.0,409.0,0.1,235000
154,30,11340,6,5,98,0.1,0.1,1200.0,1200.0,1200,1200,7,0.1,1.0,312.0,0.1,0.1,125000
155,50,9600,6,5,97,0.1,0.1,572.0,572.0,572,1096,5,0.1,0.1,0.1,0.1,8.0,79000
156,20,7200,5,7,71,0.1,0.1,0.1,0.1,1040,1040,5,0.1,2.0,625.0,0.1,0.1,109500
157,60,12003,8,5,12,84.0,0.1,774.0,774.0,774,1968,8,1.0,3.0,680.0,0.1,75.0,269500
158,60,12552,7,5,17,0.1,222.0,769.0,991.0,991,1947,8,1.0,2.0,678.0,0.1,136.0,254900
159,60,19378,7,5,16,456.0,57.0,1335.0,1392.0,1392,2462,9,1.0,2.0,576.0,239.0,132.0,320000
160,20,11120,6,6,37,0.1,660.0,572.0,1232.0,1232,1232,6,0.1,2.0,516.0,0.1,0.1,162500
161,60,13688,9,5,18,664.0,1016.0,556.0,1572.0,1572,2668,10,2.0,3.0,726.0,400.0,0.1,412500
162,20,12182,7,5,16,226.0,1201.0,340.0,1541.0,1541,1541,7,1.0,2.0,532.0,0.1,70.0,220000
163,45,5500,4,6,65,0.1,0.1,882.0,882.0,882,882,4,0.1,0.1,0.1,0.1,0.1,103200
164,40,5400,6,7,95,0.1,370.0,779.0,1149.0,1149,1616,5,0.1,1.0,216.0,0.1,0.1,152000
165,190,10106,5,7,81,0.1,351.0,112.0,644.0,808,1355,6,0.1,0.1,0.1,140.0,0.1,127500
166,20,10708,5,5,66,0.1,379.0,470.0,1617.0,1867,1867,7,3.0,1.0,303.0,476.0,0.1,190000
167,60,10562,8,5,14,300.0,1288.0,294.0,1582.0,1610,2161,8,1.0,3.0,789.0,178.0,120.0,325624
168,60,8244,7,5,17,0.1,0.1,840.0,840.0,840,1720,7,1.0,2.0,440.0,100.0,48.0,183500
169,20,16669,8,6,40,653.0,0.1,1686.0,1686.0,1707,1707,6,1.0,2.0,511.0,574.0,64.0,228000
170,50,12358,5,6,80,0.1,360.0,360.0,720.0,854,1382,7,0.1,2.0,660.0,237.0,0.1,128500
171,20,31770,6,5,61,112.0,639.0,441.0,1080.0,1656,1656,7,2.0,2.0,528.0,210.0,62.0,215000
172,160,5306,7,7,34,0.1,495.0,354.0,1064.0,1064,1767,5,1.0,2.0,504.0,441.0,35.0,239000
173,20,10197,6,5,60,491.0,288.0,700.0,1362.0,1362,1362,6,1.0,2.0,504.0,0.1,20.0,163000
174,20,12416,6,5,35,132.0,1398.0,0.1,1606.0,1651,1651,7,1.0,2.0,616.0,192.0,0.1,184000
175,20,12615,6,7,71,0.1,477.0,725.0,1202.0,2158,2158,7,1.0,2.0,576.0,0.1,29.0,243000
176,60,10029,6,5,33,268.0,831.0,320.0,1151.0,1164,2060,8,1.0,2.0,521.0,0.1,228.0,211000
177,50,13650,5,5,63,0.1,57.0,554.0,1052.0,1252,1920,8,1.0,2.0,451.0,0.1,0.1,172500
178,20,17423,9,5,13,748.0,1904.0,312.0,2216.0,2234,2234,9,1.0,3.0,1166.0,0.1,60.0,501837
179,30,8520,5,6,98,0.1,0.1,968.0,968.0,968,968,5,0.1,2.0,480.0,0.1,0.1,100000
180,160,2117,6,5,21,456.0,436.0,320.0,756.0,769,1525,5,1.0,2.0,440.0,0.1,0.1,177000
181,70,7588,7,6,101,0.1,352.0,441.0,793.0,901,1802,9,1.0,1.0,216.0,0.1,0.1,200100
182,20,9060,5,6,64,98.0,0.1,0.1,0.1,1340,1340,7,1.0,1.0,252.0,116.0,0.1,120000
183,50,11426,7,5,18,0.1,0.1,1362.0,1362.0,1362,2082,6,0.1,2.0,484.0,280.0,238.0,200000
184,50,7438,5,8,113,0.1,0.1,504.0,504.0,936,1252,5,0.1,2.0,576.0,104.0,0.1,127000
185,75,22950,10,9,129,0.1,0.1,1107.0,1107.0,1518,3608,12,2.0,3.0,840.0,0.1,260.0,475000
186,80,9947,7,5,31,0.1,611.0,577.0,1188.0,1217,1217,6,0.1,2.0,497.0,168.0,27.0,173000
187,50,10410,5,7,105,0.1,0.1,660.0,660.0,808,1656,8,0.1,1.0,180.0,0.1,0.1,135000
188,90,7018,5,5,42,275.0,1086.0,0.1,1086.0,1224,1224,6,2.0,2.0,528.0,120.0,0.1,153337
189,120,4923,8,5,20,0.1,1153.0,440.0,1593.0,1593,1593,5,1.0,2.0,682.0,0.1,120.0,286000
190,70,10570,8,8,89,0.1,297.0,556.0,853.0,1549,2727,10,2.0,2.0,440.0,0.1,74.0,315000
191,60,7472,7,9,49,138.0,626.0,99.0,725.0,725,1479,7,0.1,2.0,484.0,0.1,32.0,184000
192,20,9017,7,5,22,0.1,560.0,871.0,1431.0,1431,1431,6,0.1,2.0,666.0,0.1,35.0,192000
193,160,2522,7,5,17,50.0,0.1,970.0,970.0,970,1709,7,0.1,2.0,380.0,0.1,40.0,130000
194,20,7180,5,7,49,0.1,390.0,474.0,864.0,864,864,5,0.1,1.0,352.0,0.1,0.1,127000
195,160,2280,6,6,45,0.1,566.0,289.0,855.0,855,1456,7,1.0,2.0,440.0,87.0,0.1,148500
196,20,9416,7,5,14,205.0,1126.0,600.0,1726.0,1726,1726,8,1.0,3.0,786.0,171.0,138.0,311872
197,75,25419,8,4,103,0.1,1036.0,140.0,1360.0,1360,3112,8,1.0,2.0,795.0,0.1,16.0,235000
198,75,5520,6,6,109,0.1,0.1,755.0,755.0,929,2229,8,0.1,0.1,0.1,0.1,198.0,104000
199,20,9591,8,5,17,262.0,1088.0,625.0,1713.0,1713,1713,7,1.0,3.0,856.0,0.1,26.0,274900
200,20,8546,4,5,18,0.1,0.1,1121.0,1121.0,1121,1121,5,0.1,2.0,440.0,132.0,64.0,140000
201,20,10125,6,6,44,0.1,641.0,276.0,1196.0,1279,1279,6,2.0,2.0,473.0,238.0,83.0,171500
202,50,7000,6,6,97,0.1,617.0,0.1,617.0,865,1310,6,0.1,1.0,398.0,0.1,0.1,112000
203,120,4438,6,5,17,205.0,662.0,186.0,848.0,848,848,3,1.0,2.0,420.0,149.0,0.1,149000
204,50,3500,5,7,74,0.1,312.0,408.0,720.0,720,1284,5,0.1,1.0,240.0,0.1,35.0,110000
205,20,11851,7,5,31,0.1,0.1,1424.0,1424.0,1442,1442,5,0.1,2.0,500.0,0.1,34.0,180500
206,20,13673,5,5,59,0.1,0.1,1140.0,1140.0,1696,1696,8,1.0,1.0,349.0,0.1,30.0,143900
207,20,12493,4,5,61,0.1,419.0,375.0,1100.0,1100,1100,6,1.0,1.0,312.0,355.0,0.1,141000
208,60,14364,7,5,33,128.0,1065.0,92.0,1157.0,1180,2062,7,1.0,2.0,454.0,60.0,55.0,277000
209,20,8250,6,7,57,260.0,787.0,305.0,1092.0,1092,1092,6,0.1,2.0,504.0,0.1,0.1,145000
210,30,5604,5,6,96,0.1,468.0,396.0,864.0,864,864,5,0.1,0.1,0.1,0.1,0.1,98000
211,20,10420,6,5,12,0.1,36.0,1176.0,1212.0,1212,1212,6,0.1,2.0,460.0,100.0,22.0,186000
212,60,8640,7,5,12,0.1,822.0,78.0,900.0,932,1852,7,1.0,2.0,644.0,168.0,108.0,252678
213,20,13568,5,5,26,0.1,716.0,274.0,990.0,990,990,5,0.1,2.0,576.0,224.0,0.1,156000
214,60,10900,6,7,44,153.0,378.0,311.0,689.0,689,1392,6,0.1,1.0,299.0,0.1,36.0,161750
215,20,10011,5,6,64,64.0,360.0,710.0,1070.0,1236,1236,6,1.0,1.0,447.0,0.1,0.1,134450
216,20,8450,7,5,17,266.0,946.0,490.0,1436.0,1436,1436,8,0.1,2.0,484.0,139.0,98.0,210000
217,70,9906,4,4,96,0.1,0.1,686.0,686.0,810,1328,8,0.1,1.0,210.0,0.1,172.0,107000
218,50,15660,7,9,82,312.0,341.0,457.0,798.0,1137,1954,8,2.0,2.0,431.0,0.1,119.0,311500
219,120,3010,7,5,16,16.0,16.0,1232.0,1248.0,1248,1248,5,0.1,2.0,438.0,108.0,0.1,167240
220,20,8990,7,5,15,0.1,0.1,1498.0,1498.0,1498,1498,5,0.1,2.0,675.0,351.0,33.0,204900
221,60,8068,6,5,19,0.1,0.1,1010.0,1010.0,1010,2267,8,1.0,2.0,390.0,120.0,46.0,200000
222,60,11475,6,6,46,0.1,550.0,163.0,713.0,811,1552,6,1.0,2.0,434.0,209.0,208.0,179900
223,20,10500,4,6,50,0.1,524.0,160.0,864.0,864,864,4,0.1,2.0,576.0,216.0,0.1,97000
224,20,13472,10,5,18,922.0,56.0,2336.0,2392.0,2392,2392,8,1.0,3.0,968.0,248.0,105.0,386250
225,160,1680,5,5,50,142.0,0.1,630.0,630.0,630,1302,6,0.1,1.0,280.0,0.1,0.1,112000
226,60,9950,7,5,26,290.0,565.0,638.0,1203.0,1214,2520,9,1.0,3.0,721.0,224.0,114.0,290000
