ап1,MSSubClass,LotArea,OverallQual,OverallCond,Houseage,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
19,20,7560,5,6,63,0.1,504,525,1029,1339,1339,6,0.1,1,294,0.1,0.1,139000
20,60,14215,8,5,16,380,0.1,1158,1158,1158,2376,9,1,3,853,240,154,325300
21,45,7449,7,7,91,0.1,0.1,637,637,1108,1108,6,1,1,280,0.1,0.1,139400
22,20,9742,8,5,19,281,0.1,1777,1777,1795,1795,7,1,2,534,171,159,230000
23,120,4224,5,7,45,0.1,840,200,1040,1060,1060,6,1,2,572,100,110,129900
24,20,8246,5,8,53,0.1,188,204,1060,1060,1060,6,1,1,270,406,90,154000
25,20,14230,8,5,14,640,0.1,1566,1566,1600,1600,7,1,3,890,0.1,56,256300
26,20,7200,5,7,70,0.1,234,180,900,900,900,5,0.1,2,576,222,32,134800
27,20,11478,8,5,14,200,1218,486,1704,1704,1704,7,1,3,772,0.1,50,306000
28,20,16321,5,6,64,0.1,1277,207,1484,1600,1600,6,2,1,319,288,258,207500
29,30,6324,4,6,94,0.1,0.1,520,520,520,520,4,0.1,1,240,49,0.1,68500
30,70,8500,4,4,101,0.1,0.1,649,649,649,1317,6,0.1,1,250,0.1,54,40000
31,20,8544,5,6,55,0.1,0.1,1228,1228,1228,1228,6,0.1,1,271,0.1,65,149350
32,20,11049,8,5,14,0.1,0.1,1234,1234,1234,1234,7,0.1,2,484,0.1,30,179900
33,20,10552,5,5,62,0.1,1018,380,1398,1700,1700,6,1,2,447,0.1,38,165500
34,120,7313,9,5,16,246,1153,408,1561,1561,1561,6,1,2,556,203,47,277500
35,60,13418,8,5,17,132,0.1,1117,1117,1132,2452,9,1,3,691,113,32,309000
36,20,10859,5,5,27,0.1,0.1,1097,1097,1097,1097,6,0.1,2,672,392,64,145000
37,20,8532,5,6,67,650,1213,84,1297,1297,1297,5,1,2,498,0.1,0.1,153000
38,20,7922,5,7,68,0.1,731,326,1057,1057,1057,5,0.1,1,246,0.1,52,109000
39,90,6040,4,5,66,0.1,0.1,0.1,0.1,1152,1152,6,0.1,0.1,0.1,0.1,0.1,82000
40,20,8658,6,5,56,101,643,445,1088,1324,1324,6,1,2,440,0.1,138,160000
41,20,16905,5,6,62,0.1,967,383,1350,1328,1328,5,2,1,308,0.1,104,170000
42,85,9180,5,7,38,0.1,747,0.1,840,884,884,5,0.1,2,504,240,0.1,144000
43,20,9200,5,6,46,0.1,280,167,938,938,938,5,0.1,1,308,145,0.1,130250
44,20,7945,5,6,62,0.1,179,465,1150,1150,1150,6,0.1,1,300,0.1,0.1,141000
45,120,7658,9,5,16,412,456,1296,1752,1752,1752,6,1,2,576,196,82,319900
46,50,12822,7,5,18,0.1,1351,83,1434,1518,2149,6,1,2,670,168,43,239686
47,20,11096,8,5,15,0.1,24,1632,1656,1656,1656,7,0.1,3,826,0.1,146,249700
48,190,4456,4,5,101,0.1,0.1,736,736,736,1452,8,0.1,0.1,0.1,0.1,0.1,113000
49,20,7742,5,7,55,0.1,763,192,955,955,955,6,0.1,1,386,0.1,0.1,127000
50,60,13869,6,6,24,0.1,182,612,794,794,1470,6,0.1,2,388,0.1,75,177000
51,50,6240,6,6,87,0.1,0.1,816,816,816,1176,6,1,2,528,112,0.1,114500
52,90,8472,5,5,58,0.1,104,0.1,816,816,816,5,0.1,2,516,106,0.1,110000
53,20,50271,9,5,40,0.1,1810,32,1842,1842,1842,5,1,3,894,857,72,385000
54,80,7134,5,5,66,0.1,384,0.1,384,1360,1360,6,1,2,572,0.1,50,130000
55,20,10175,6,5,57,272,490,935,1425,1425,1425,7,1,2,576,0.1,0.1,180500
56,160,2645,8,5,22,456,649,321,970,983,1739,7,0.1,2,480,115,0.1,172500
57,60,11645,7,5,17,0.1,0.1,860,860,860,1720,7,0.1,2,565,0.1,70,196500
58,60,13682,10,5,15,1031,0.1,1410,1410,1426,2945,10,1,3,641,192,0.1,438780
59,20,7200,5,7,49,0.1,632,148,780,780,780,4,0.1,1,352,196,0.1,124900
60,20,13072,6,5,17,0.1,941,217,1158,1158,1158,5,0.1,2,576,0.1,50,158000
61,75,7200,5,7,101,0.1,0.1,530,530,581,1111,6,0.1,1,288,0.1,0.1,101000
62,120,6442,8,5,15,178,24,1346,1370,1370,1370,6,1,2,484,120,49,202500
63,70,10300,7,6,100,0.1,0.1,576,576,902,1710,9,0.1,2,480,12,11,140000
64,60,9375,7,5,24,573,739,318,1057,1057,2034,8,0.1,2,645,576,36,219500
65,60,9591,8,5,17,344,0.1,1143,1143,1143,2473,9,1,3,852,192,151,317000
66,20,19900,7,5,51,287,912,1035,1947,2207,2207,7,1,2,576,301,0.1,180000
67,20,10665,7,5,18,167,1013,440,1453,1479,1479,7,0.1,2,558,144,29,226000
68,30,4608,4,6,76,0.1,0.1,747,747,747,747,4,0.1,1,220,0.1,0.1,80000
69,50,15593,7,4,68,0.1,603,701,1304,1304,2287,7,1,2,667,0.1,21,225000
70,20,13651,7,6,48,1115,1880,343,2223,2223,2223,8,2,2,516,300,0.1,244000
71,20,7599,4,6,39,0.1,565,280,845,845,845,4,0.1,2,360,0.1,0.1,129500
72,60,10141,7,5,23,40,0.1,832,832,885,1718,7,1,2,427,0.1,94,185000
73,20,10200,5,7,67,104,320,404,1086,1086,1086,6,0.1,2,490,0.1,0.1,144900
74,50,5790,3,6,106,0.1,0.1,840,840,840,1605,8,0.1,1,379,0.1,0.1,107400
75,180,1596,4,5,48,0.1,462,0.1,462,526,988,5,0.1,1,297,120,101,91000
76,20,8475,4,7,65,0.1,228,724,952,952,952,4,0.1,1,283,0.1,0.1,135750
77,50,8635,5,5,73,0.1,336,295,672,1072,1285,6,0.1,1,240,0.1,0.1,127000
78,90,10778,4,5,53,0.1,0.1,1768,1768,1768,1768,8,0.1,0.1,0.1,0.1,0.1,136500
79,50,10440,5,6,111,0.1,0.1,440,440,682,1230,5,0.1,2,440,74,0.1,110000
80,60,13000,6,6,53,576,448,448,896,1182,2142,8,1,1,509,0.1,72,193500
81,120,4500,6,5,23,443,1201,36,1237,1337,1337,5,0.1,2,405,0.1,199,153500
82,20,10206,8,5,14,468,33,1530,1563,1563,1563,6,1,3,758,144,99,245000
83,20,8892,5,5,61,66,0.1,1065,1065,1065,1065,6,0.1,2,461,74,0.1,126500
84,80,8530,7,5,26,22,0.1,384,384,804,1474,7,1,2,400,120,72,168500
85,60,16059,8,5,30,284,0.1,1288,1288,1301,2417,9,1,2,462,127,82,260000
86,60,11911,6,5,16,0.1,0.1,684,684,684,1560,6,1,2,400,100,38,174000
87,160,3951,6,5,12,76,0.1,612,612,612,1224,4,0.1,2,528,0.1,234,164500
88,50,8470,3,2,106,0.1,0.1,1013,1013,1013,1526,6,0.1,0.1,0.1,0.1,0.1,85000
89,20,8070,4,5,27,0.1,588,402,990,990,990,5,0.1,0.1,0.1,0.1,0.1,123600
90,20,7200,4,5,71,0.1,0.1,0.1,0.1,1040,1040,4,0.1,2,420,0.1,29,109900
91,20,8500,5,3,60,203,600,635,1235,1235,1235,6,0.1,2,480,0.1,0.1,98600
92,30,13360,5,7,100,0.1,713,163,876,964,964,5,0.1,2,432,0.1,0.1,163500
93,190,7200,6,6,111,0.1,1046,168,1214,1260,2291,9,1,2,506,0.1,0.1,133900
94,60,9337,6,5,24,0.1,648,176,824,905,1786,7,0.1,2,684,0.1,162,204750
95,60,9765,6,8,28,68,310,370,680,680,1470,6,1,2,420,232,63,185000
96,20,10264,7,5,22,183,1162,426,1588,1588,1588,6,0.1,2,472,158,29,214000
97,20,10921,4,5,56,48,520,440,960,960,960,6,0.1,1,432,120,0.1,94750
98,30,10625,5,5,101,0.1,108,350,458,835,835,5,0.1,1,366,0.1,0.1,83000
99,20,9320,4,5,62,0.1,569,381,950,1225,1225,6,0.1,0.1,0.1,352,0.1,128950
100,20,10603,6,7,44,28,1200,410,1610,1610,1610,6,2,2,480,168,68,205000
101,60,9206,6,5,36,336,0.1,741,741,977,1732,7,1,2,476,192,46,178000
102,90,7018,5,5,42,0.1,0.1,0.1,0.1,1535,1535,8,0.1,2,410,0.1,0.1,118964
103,20,10402,7,5,12,0.1,0.1,1226,1226,1226,1226,6,0.1,3,740,0.1,36,198900
104,50,7758,7,4,90,600,224,816,1040,1226,1818,7,2,1,240,0.1,0.1,169500
105,60,9375,8,5,18,768,0.1,1053,1053,1053,1992,9,1,2,648,140,45,250000
106,30,10800,4,7,136,0.1,0.1,641,641,1047,1047,6,0.1,1,273,0.1,0.1,100000
107,20,6000,5,5,73,0.1,104,516,789,789,789,5,0.1,1,250,0.1,0.1,115000
108,50,8500,5,7,102,0.1,0.1,793,793,997,1517,7,0.1,0.1,0.1,0.1,0.1,115000
109,20,11751,6,6,44,480,705,1139,1844,1844,1844,7,1,2,546,0.1,122,190000
110,50,9525,6,4,67,0.1,444,550,994,1216,1855,7,0.1,1,325,182,0.1,136900
111,80,7750,7,5,21,0.1,250,134,384,774,1430,7,1,2,400,180,0.1,180000
112,60,9965,7,5,14,220,984,280,1264,1282,2696,10,1,3,792,120,184,383970
113,20,21000,6,5,68,184,35,905,1809,2259,2259,7,2,2,450,166,120,217000
114,70,7259,6,8,76,0.1,774,104,1028,1436,2320,9,1,1,180,224,0.1,259500
115,160,3230,6,5,22,1129,419,310,729,729,1458,5,1,2,440,0.1,32,176000
116,20,11616,5,5,59,116,170,252,1092,1092,1092,6,1,1,288,0.1,20,139000
117,20,8536,5,5,15,0.1,0.1,1125,1125,1125,1125,5,0.1,2,430,80,64,155000
118,60,12376,7,5,31,0.1,1470,203,1673,1699,3222,11,2,3,594,367,0.1,320000
119,60,8461,6,5,16,0.1,0.1,728,728,728,1456,8,1,2,390,0.1,24,163990
120,80,21453,6,5,52,0.1,938,0.1,938,988,988,4,2,2,540,0.1,130,180000
121,50,6060,4,5,82,0.1,0.1,732,732,772,1123,4,0.1,1,264,0.1,0.1,100000
122,20,9464,6,7,63,135,570,510,1080,1080,1080,5,0.1,1,288,0.1,0.1,136000
123,120,7892,6,5,28,0.1,300,899,1199,1199,1199,5,0.1,2,530,0.1,63,153900
124,20,17043,6,5,42,0.1,0.1,1362,1362,1586,1586,7,1,2,435,192,0.1,181000
125,190,6780,6,8,86,0.1,490,30,520,520,754,5,0.1,0.1,0.1,53,0.1,84500
126,120,4928,6,5,45,0.1,120,958,1078,958,958,5,1,2,440,0.1,205,128000
127,45,4388,5,7,91,0.1,116,556,672,840,840,5,1,0.1,0.1,0.1,0.1,87000
128,60,7590,6,5,55,266,512,148,660,660,1348,6,1,2,453,188,108,155000
129,20,8973,5,7,63,85,567,413,1008,1053,1053,6,0.1,2,750,0.1,80,150000
130,60,14200,7,6,55,309,445,479,924,1216,2157,8,2,2,487,105,66,226000
131,60,12224,6,5,21,40,695,297,992,1022,2054,7,1,2,390,24,48,244000
132,20,7388,5,6,62,0.1,405,658,1063,1327,1327,7,0.1,2,624,0.1,0.1,150750
133,20,6853,8,5,20,136,1005,262,1267,1296,1296,6,0.1,2,471,192,25,220000
134,20,10335,5,6,53,0.1,570,891,1461,1721,1721,7,1,2,440,0.1,96,180000
135,20,10400,7,6,51,288,0.1,1304,1304,1682,1682,7,1,2,530,98,0.1,174000
136,20,10355,5,5,54,196,695,519,1214,1214,1214,5,1,1,318,0.1,111,143000
137,90,11070,7,5,33,70,0.1,1907,1907,1959,1959,9,0.1,3,766,0.1,0.1,171000
138,60,9066,8,5,22,320,668,336,1004,1004,1852,7,2,3,660,224,106,230000
139,60,15426,6,5,24,0.1,821,107,928,928,1764,7,0.1,2,470,276,99,231500
140,20,10500,4,5,50,0.1,432,432,864,864,864,5,1,0.1,0.1,0.1,0.1,115000
141,20,11645,7,5,16,0.1,1300,434,1734,1734,1734,7,0.1,2,660,160,24,260000
142,50,8520,5,4,69,0.1,507,403,910,910,1385,6,0.1,2,720,0.1,0.1,166000
143,20,10335,7,5,22,183,679,811,1490,1501,1501,6,0.1,2,577,144,29,204000
144,90,9100,5,5,58,336,1332,396,1728,1728,1728,10,0.1,2,504,0.1,0.1,125000
145,160,2522,6,5,17,50,0.1,970,970,970,1709,7,0.1,2,380,0.1,40,130000
146,30,6120,5,7,90,0.1,209,506,715,875,875,5,0.1,1,180,48,0.1,105000
147,60,9505,7,5,20,180,0.1,884,884,884,2035,8,1,2,434,144,48,222500
148,20,7500,7,5,17,120,680,400,1080,1080,1080,6,0.1,0.1,0.1,0.1,0.1,141000
149,50,6240,5,4,85,0.1,0.1,896,896,896,1344,7,0.1,1,240,200,114,115000
150,20,10356,5,6,46,0.1,716,253,969,969,969,5,0.1,2,440,0.1,0.1,122000
151,20,13891,8,5,14,436,1400,310,1710,1710,1710,6,1,3,866,0.1,102,372402
152,60,14803,6,5,50,252,416,409,825,1097,1993,8,1,2,495,0.1,66,190000
153,20,13500,6,7,61,0.1,429,93,1602,1252,1252,4,1,2,564,409,0.1,235000
154,30,11340,6,5,98,0.1,0.1,1200,1200,1200,1200,7,0.1,1,312,0.1,0.1,125000
155,50,9600,6,5,97,0.1,0.1,572,572,572,1096,5,0.1,0.1,0.1,0.1,8,79000
156,20,7200,5,7,71,0.1,0.1,0.1,0.1,1040,1040,5,0.1,2,625,0.1,0.1,109500
157,60,12003,8,5,12,84,0.1,774,774,774,1968,8,1,3,680,0.1,75,269500
158,60,12552,7,5,17,0.1,222,769,991,991,1947,8,1,2,678,0.1,136,254900
159,60,19378,7,5,16,456,57,1335,1392,1392,2462,9,1,2,576,239,132,320000
160,20,11120,6,6,37,0.1,660,572,1232,1232,1232,6,0.1,2,516,0.1,0.1,162500
161,60,13688,9,5,18,664,1016,556,1572,1572,2668,10,2,3,726,400,0.1,412500
162,20,12182,7,5,16,226,1201,340,1541,1541,1541,7,1,2,532,0.1,70,220000
163,45,5500,4,6,65,0.1,0.1,882,882,882,882,4,0.1,0.1,0.1,0.1,0.1,103200
164,40,5400,6,7,95,0.1,370,779,1149,1149,1616,5,0.1,1,216,0.1,0.1,152000
165,190,10106,5,7,81,0.1,351,112,644,808,1355,6,0.1,0.1,0.1,140,0.1,127500
166,20,10708,5,5,66,0.1,379,470,1617,1867,1867,7,3,1,303,476,0.1,190000
167,60,10562,8,5,14,300,1288,294,1582,1610,2161,8,1,3,789,178,120,325624
168,60,8244,7,5,17,0.1,0.1,840,840,840,1720,7,1,2,440,100,48,183500
169,20,16669,8,6,40,653,0.1,1686,1686,1707,1707,6,1,2,511,574,64,228000
170,50,12358,5,6,80,0.1,360,360,720,854,1382,7,0.1,2,660,237,0.1,128500
171,20,31770,6,5,61,112,639,441,1080,1656,1656,7,2,2,528,210,62,215000
172,160,5306,7,7,34,0.1,495,354,1064,1064,1767,5,1,2,504,441,35,239000
173,20,10197,6,5,60,491,288,700,1362,1362,1362,6,1,2,504,0.1,20,163000
174,20,12416,6,5,35,132,1398,0.1,1606,1651,1651,7,1,2,616,192,0.1,184000
175,20,12615,6,7,71,0.1,477,725,1202,2158,2158,7,1,2,576,0.1,29,243000
176,60,10029,6,5,33,268,831,320,1151,1164,2060,8,1,2,521,0.1,228,211000
177,50,13650,5,5,63,0.1,57,554,1052,1252,1920,8,1,2,451,0.1,0.1,172500
178,20,17423,9,5,13,748,1904,312,2216,2234,2234,9,1,3,1166,0.1,60,501837
179,30,8520,5,6,98,0.1,0.1,968,968,968,968,5,0.1,2,480,0.1,0.1,100000
180,160,2117,6,5,21,456,436,320,756,769,1525,5,1,2,440,0.1,0.1,177000
181,70,7588,7,6,101,0.1,352,441,793,901,1802,9,1,1,216,0.1,0.1,200100
182,20,9060,5,6,64,98,0.1,0.1,0.1,1340,1340,7,1,1,252,116,0.1,120000
183,50,11426,7,5,18,0.1,0.1,1362,1362,1362,2082,6,0.1,2,484,280,238,200000
184,50,7438,5,8,113,0.1,0.1,504,504,936,1252,5,0.1,2,576,104,0.1,127000
185,75,22950,10,9,129,0.1,0.1,1107,1107,1518,3608,12,2,3,840,0.1,260,475000
186,80,9947,7,5,31,0.1,611,577,1188,1217,1217,6,0.1,2,497,168,27,173000
187,50,10410,5,7,105,0.1,0.1,660,660,808,1656,8,0.1,1,180,0.1,0.1,135000
188,90,7018,5,5,42,275,1086,0.1,1086,1224,1224,6,2,2,528,120,0.1,153337
189,120,4923,8,5,20,0.1,1153,440,1593,1593,1593,5,1,2,682,0.1,120,286000
190,70,10570,8,8,89,0.1,297,556,853,1549,2727,10,2,2,440,0.1,74,315000
191,60,7472,7,9,49,138,626,99,725,725,1479,7,0.1,2,484,0.1,32,184000
192,20,9017,7,5,22,0.1,560,871,1431,1431,1431,6,0.1,2,666,0.1,35,192000
193,160,2522,7,5,17,50,0.1,970,970,970,1709,7,0.1,2,380,0.1,40,130000
194,20,7180,5,7,49,0.1,390,474,864,864,864,5,0.1,1,352,0.1,0.1,127000
195,160,2280,6,6,45,0.1,566,289,855,855,1456,7,1,2,440,87,0.1,148500
196,20,9416,7,5,14,205,1126,600,1726,1726,1726,8,1,3,786,171,138,311872
197,75,25419,8,4,103,0.1,1036,140,1360,1360,3112,8,1,2,795,0.1,16,235000
198,75,5520,6,6,109,0.1,0.1,755,755,929,2229,8,0.1,0.1,0.1,0.1,198,104000
199,20,9591,8,5,17,262,1088,625,1713,1713,1713,7,1,3,856,0.1,26,274900
200,20,8546,4,5,18,0.1,0.1,1121,1121,1121,1121,5,0.1,2,440,132,64,140000
201,20,10125,6,6,44,0.1,641,276,1196,1279,1279,6,2,2,473,238,83,171500
202,50,7000,6,6,97,0.1,617,0.1,617,865,1310,6,0.1,1,398,0.1,0.1,112000
203,120,4438,6,5,17,205,662,186,848,848,848,3,1,2,420,149,0.1,149000
204,50,3500,5,7,74,0.1,312,408,720,720,1284,5,0.1,1,240,0.1,35,110000
205,20,11851,7,5,31,0.1,0.1,1424,1424,1442,1442,5,0.1,2,500,0.1,34,180500
206,20,13673,5,5,59,0.1,0.1,1140,1140,1696,1696,8,1,1,349,0.1,30,143900
207,20,12493,4,5,61,0.1,419,375,1100,1100,1100,6,1,1,312,355,0.1,141000
208,60,14364,7,5,33,128,1065,92,1157,1180,2062,7,1,2,454,60,55,277000
209,20,8250,6,7,57,260,787,305,1092,1092,1092,6,0.1,2,504,0.1,0.1,145000
210,30,5604,5,6,96,0.1,468,396,864,864,864,5,0.1,0.1,0.1,0.1,0.1,98000
211,20,10420,6,5,12,0.1,36,1176,1212,1212,1212,6,0.1,2,460,100,22,186000
212,60,8640,7,5,12,0.1,822,78,900,932,1852,7,1,2,644,168,108,252678
213,20,13568,5,5,26,0.1,716,274,990,990,990,5,0.1,2,576,224,0.1,156000
214,60,10900,6,7,44,153,378,311,689,689,1392,6,0.1,1,299,0.1,36,161750
215,20,10011,5,6,64,64,360,710,1070,1236,1236,6,1,1,447,0.1,0.1,134450
216,20,8450,7,5,17,266,946,490,1436,1436,1436,8,0.1,2,484,139,98,210000
217,70,9906,4,4,96,0.1,0.1,686,686,810,1328,8,0.1,1,210,0.1,172,107000
218,50,15660,7,9,82,312,341,457,798,1137,1954,8,2,2,431,0.1,119,311500
219,120,3010,7,5,16,16,16,1232,1248,1248,1248,5,0.1,2,438,108,0.1,167240
220,20,8990,7,5,15,0.1,0.1,1498,1498,1498,1498,5,0.1,2,675,351,33,204900
221,60,8068,6,5,19,0.1,0.1,1010,1010,1010,2267,8,1,2,390,120,46,200000
222,60,11475,6,6,46,0.1,550,163,713,811,1552,6,1,2,434,209,208,179900
223,20,10500,4,6,50,0.1,524,160,864,864,864,4,0.1,2,576,216,0.1,97000
224,20,13472,10,5,18,922,56,2336,2392,2392,2392,8,1,3,968,248,105,386250
225,160,1680,5,5,50,142,0.1,630,630,630,1302,6,0.1,1,280,0.1,0.1,112000
226,60,9950,7,5,26,290,565,638,1203,1214,2520,9,1,3,721,224,114,290000
227,160,1869,6,6,51,127,321,162,483,483,987,5,0.1,1,280,0.1,0.1,106000
228,20,8521,5,5,54,0.1,842,70,912,912,912,5,1,1,336,0.1,0.1,125000
229,120,3182,7,5,16,16,16,1357,1373,1555,1555,7,1,2,430,143,20,192500
230,20,8760,6,6,62,220,0.1,1194,1194,1194,1194,6,0.1,1,312,0.1,0.1,148000
231,60,15138,8,5,26,506,689,773,1462,1490,2794,9,1,3,810,0.1,146,403000
232,160,1680,6,5,49,297,0.1,483,483,483,987,5,1,1,288,0.1,0.1,94500
233,20,10650,5,6,45,0.1,182,0.1,894,894,894,5,0.1,1,308,365,0.1,128200
235,160,1680,6,3,50,604,358,125,483,483,987,5,0.1,1,264,0.1,0.1,89500
236,20,8773,7,5,17,98,24,1390,1414,1414,1414,6,0.1,2,494,132,105,185500
237,60,9453,7,7,28,0.1,402,594,996,1014,1744,7,0.1,2,457,370,70,194500
238,20,12030,8,5,14,254,0.1,1694,1694,1694,1694,7,0.1,3,818,168,228,318000
239,50,8741,6,4,76,0.1,94,641,735,798,1487,7,1,1,220,0.1,140,113000
240,20,9000,8,5,13,36,1078,488,1566,1566,1566,7,0.1,2,750,144,168,262500
241,30,3880,5,9,76,0.1,329,357,686,866,866,4,0.1,0.1,0.1,58,42,110500
242,50,5000,5,4,121,0.1,0.1,540,540,889,1440,6,0.1,1,352,0.1,0.1,79000
243,160,10762,6,6,41,0.1,0.1,626,626,626,1217,6,1,1,288,0.1,28,120000
244,60,8880,7,5,27,0.1,695,253,948,1222,2110,8,2,2,463,0.1,130,205000
245,20,10400,7,5,33,102,929,916,1845,1872,1872,6,1,2,604,197,39,241500
246,190,9142,6,8,111,0.1,0.1,1020,1020,908,1928,9,0.1,1,440,0.1,60,137000
247,20,11310,6,5,67,0.1,0.1,1367,1367,1375,1375,5,1,2,451,0.1,30,140000
248,60,11317,7,5,18,101,0.1,840,840,840,1668,8,0.1,2,500,144,68,180000
249,50,159000,6,7,63,472,697,747,1444,1444,2144,7,2,2,389,0.1,98,277000
250,30,5350,3,2,81,0.1,0.1,728,728,1306,1306,6,0.1,0.1,0.1,263,0.1,76500
251,120,4750,8,5,15,481,1573,0.1,1573,1625,1625,5,1,2,538,123,0.1,235000
252,60,8366,6,5,17,0.1,0.1,798,798,798,1640,6,0.1,2,520,138,45,173000
253,80,9350,6,7,57,108,270,452,1302,1302,1302,7,0.1,1,309,333,0.1,158000
254,20,8400,5,6,64,0.1,922,392,1314,1314,1314,5,0.1,1,294,250,0.1,145000
255,60,8738,7,5,22,302,0.1,975,975,1005,2291,8,1,2,429,192,0.1,230000
256,60,8791,6,5,18,0.1,503,361,864,864,1728,7,0.1,2,673,216,56,207500
257,20,8814,7,5,15,180,1334,270,1604,1604,1604,8,1,2,660,123,110,220000
258,60,12435,7,5,20,172,361,602,963,963,1792,7,1,2,564,0.1,96,231500
259,20,12702,5,5,65,0.1,0.1,0.1,0.1,882,882,4,0.1,1,308,0.1,45,97000
260,80,19296,6,5,59,399,672,0.1,1362,1382,1382,6,1,2,884,0.1,0.1,176000
261,60,9588,8,5,14,270,0.1,1482,1482,1482,2574,10,1,3,868,0.1,148,276000
262,80,8471,6,7,44,46,506,0.1,506,1212,1212,6,1,2,492,292,12,151000
263,50,5500,5,7,92,0.1,234,0.1,926,926,1316,6,0.1,2,484,0.1,0.1,130000
264,30,5232,5,5,96,0.1,0.1,680,680,764,764,4,0.1,2,504,0.1,0.1,73000
265,20,12090,6,6,40,210,588,606,1422,1422,1422,7,1,2,576,276,0.1,175500
266,60,11207,6,5,24,0.1,714,88,802,802,1511,8,1,2,413,95,75,185000
267,75,8400,5,8,82,0.1,378,342,720,1052,2192,8,1,1,240,262,24,179500
268,30,6900,5,6,81,0.1,403,212,740,778,778,4,1,1,924,0.1,25,120500
269,20,7917,6,7,45,174,751,392,1143,1113,1113,6,1,1,504,370,30,148000
270,60,10728,8,5,15,0.1,0.1,1095,1095,1095,1939,8,1,3,1053,192,51,266000
271,20,39104,7,7,67,0.1,226,96,1385,1363,1363,5,2,2,439,81,0.1,241500
272,60,11764,8,7,22,348,524,628,1152,1164,2270,9,1,3,671,132,57,290000
273,20,9600,6,6,63,183,620,0.1,1240,1632,1632,6,1,1,338,289,0.1,139000
274,20,8314,5,7,39,0.1,546,270,816,816,816,5,0.1,1,264,168,0.1,124500
275,50,7264,7,7,96,0.1,0.1,952,952,952,1548,5,0.1,2,672,74,0.1,205000
276,20,9196,7,5,18,0.1,0.1,1560,1560,1560,1560,7,0.1,2,573,100,150,201000
277,20,19138,4,5,70,0.1,120,744,864,864,864,4,0.1,2,400,0.1,0.1,141000
278,20,14450,9,5,15,315,0.1,2121,2121,2121,2121,8,1,3,732,124,98,415298
279,60,10005,7,5,44,299,392,768,1160,1156,2022,8,1,2,505,288,117,192000
280,60,11287,7,6,32,340,421,386,807,1175,1982,7,1,2,575,0.1,84,228500
281,20,7200,6,5,15,68,905,357,1262,1262,1262,5,0.1,2,572,0.1,120,185000
282,120,5063,7,5,14,166,904,410,1314,1314,1314,6,1,2,626,172,62,207500
283,20,9612,8,5,13,72,0.1,1468,1468,1468,1468,6,1,3,898,210,150,244600
284,120,8012,6,5,29,0.1,430,1145,1575,1575,1575,5,0.1,2,529,0.1,0.1,179200
285,160,4251,7,5,15,0.1,0.1,625,625,625,1250,5,0.1,2,528,0.1,54,164700
286,50,9786,6,7,59,0.1,600,312,912,1085,1734,7,1,2,440,0.1,0.1,159000
287,20,8125,4,4,50,0.1,614,244,858,858,858,5,0.1,0.1,0.1,0.1,0.1,88000
288,20,9819,5,5,54,31,450,432,882,900,900,5,0.1,1,280,0.1,0.1,122000
289,70,8730,6,7,106,0.1,0.1,698,698,698,1396,7,0.1,1,384,0.1,0.1,153575
