MSSubClass,LotArea,OverallQual,OverallCond,Houseage,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,GrLivArea,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
20,10335,7,5,22,183,679,811,1490,1501,1501,6,0,2,577,144,29,204000
90,9100,5,5,58,336,1332,396,1728,1728,1728,10,0,2,504,0,0,125000
160,2522,6,5,17,50,0,970,970,970,1709,7,0,2,380,0,40,130000
30,6120,5,7,90,0,209,506,715,875,875,5,0,1,180,48,0,105000
60,9505,7,5,20,180,0,884,884,884,2035,8,1,2,434,144,48,222500
20,7500,7,5,17,120,680,400,1080,1080,1080,6,0,0,0,0,0,141000
50,6240,5,4,85,0,0,896,896,896,1344,7,0,1,240,200,114,115000
20,10356,5,6,46,0,716,253,969,969,969,5,0,2,440,0,0,122000
20,13891,8,5,14,436,1400,310,1710,1710,1710,6,1,3,866,0,102,372402
60,14803,6,5,50,252,416,409,825,1097,1993,8,1,2,495,0,66,190000
20,13500,6,7,61,0,429,93,1602,1252,1252,4,1,2,564,409,0,235000
30,11340,6,5,98,0,0,1200,1200,1200,1200,7,0,1,312,0,0,125000
50,9600,6,5,97,0,0,572,572,572,1096,5,0,0,0,0,8,79000
20,7200,5,7,71,0,0,0,0,1040,1040,5,0,2,625,0,0,109500
60,12003,8,5,12,84,0,774,774,774,1968,8,1,3,680,0,75,269500
60,12552,7,5,17,0,222,769,991,991,1947,8,1,2,678,0,136,254900
60,19378,7,5,16,456,57,1335,1392,1392,2462,9,1,2,576,239,132,320000
20,11120,6,6,37,0,660,572,1232,1232,1232,6,0,2,516,0,0,162500
60,13688,9,5,18,664,1016,556,1572,1572,2668,10,2,3,726,400,0,412500
20,12182,7,5,16,226,1201,340,1541,1541,1541,7,1,2,532,0,70,220000
45,5500,4,6,65,0,0,882,882,882,882,4,0,0,0,0,0,103200
40,5400,6,7,95,0,370,779,1149,1149,1616,5,0,1,216,0,0,152000
190,10106,5,7,81,0,351,112,644,808,1355,6,0,0,0,140,0,127500
20,10708,5,5,66,0,379,470,1617,1867,1867,7,3,1,303,476,0,190000
60,10562,8,5,14,300,1288,294,1582,1610,2161,8,1,3,789,178,120,325624
60,8244,7,5,17,0,0,840,840,840,1720,7,1,2,440,100,48,183500
20,16669,8,6,40,653,0,1686,1686,1707,1707,6,1,2,511,574,64,228000
50,12358,5,6,80,0,360,360,720,854,1382,7,0,2,660,237,0,128500
20,31770,6,5,61,112,639,441,1080,1656,1656,7,2,2,528,210,62,215000
160,5306,7,7,34,0,495,354,1064,1064,1767,5,1,2,504,441,35,239000
20,10197,6,5,60,491,288,700,1362,1362,1362,6,1,2,504,0,20,163000
20,12416,6,5,35,132,1398,0,1606,1651,1651,7,1,2,616,192,0,184000
20,12615,6,7,71,0,477,725,1202,2158,2158,7,1,2,576,0,29,243000
60,10029,6,5,33,268,831,320,1151,1164,2060,8,1,2,521,0,228,211000
50,13650,5,5,63,0,57,554,1052,1252,1920,8,1,2,451,0,0,172500
20,17423,9,5,13,748,1904,312,2216,2234,2234,9,1,3,1166,0,60,501837
30,8520,5,6,98,0,0,968,968,968,968,5,0,2,480,0,0,100000
160,2117,6,5,21,456,436,320,756,769,1525,5,1,2,440,0,0,177000
70,7588,7,6,101,0,352,441,793,901,1802,9,1,1,216,0,0,200100
20,9060,5,6,64,98,0,0,0,1340,1340,7,1,1,252,116,0,120000
50,11426,7,5,18,0,0,1362,1362,1362,2082,6,0,2,484,280,238,200000
50,7438,5,8,113,0,0,504,504,936,1252,5,0,2,576,104,0,127000
75,22950,10,9,129,0,0,1107,1107,1518,3608,12,2,3,840,0,260,475000
80,9947,7,5,31,0,611,577,1188,1217,1217,6,0,2,497,168,27,173000
50,10410,5,7,105,0,0,660,660,808,1656,8,0,1,180,0,0,135000
90,7018,5,5,42,275,1086,0,1086,1224,1224,6,2,2,528,120,0,153337
120,4923,8,5,20,0,1153,440,1593,1593,1593,5,1,2,682,0,120,286000
70,10570,8,8,89,0,297,556,853,1549,2727,10,2,2,440,0,74,315000
60,7472,7,9,49,138,626,99,725,725,1479,7,0,2,484,0,32,184000
20,9017,7,5,22,0,560,871,1431,1431,1431,6,0,2,666,0,35,192000
160,2522,7,5,17,50,0,970,970,970,1709,7,0,2,380,0,40,130000
20,7180,5,7,49,0,390,474,864,864,864,5,0,1,352,0,0,127000
160,2280,6,6,45,0,566,289,855,855,1456,7,1,2,440,87,0,148500
20,9416,7,5,14,205,1126,600,1726,1726,1726,8,1,3,786,171,138,311872
75,25419,8,4,103,0,1036,140,1360,1360,3112,8,1,2,795,0,16,235000
75,5520,6,6,109,0,0,755,755,929,2229,8,0,0,0,0,198,104000
20,9591,8,5,17,262,1088,625,1713,1713,1713,7,1,3,856,0,26,274900
20,8546,4,5,18,0,0,1121,1121,1121,1121,5,0,2,440,132,64,140000
20,10125,6,6,44,0,641,276,1196,1279,1279,6,2,2,473,238,83,171500
50,7000,6,6,97,0,617,0,617,865,1310,6,0,1,398,0,0,112000
120,4438,6,5,17,205,662,186,848,848,848,3,1,2,420,149,0,149000
50,3500,5,7,74,0,312,408,720,720,1284,5,0,1,240,0,35,110000
20,11851,7,5,31,0,0,1424,1424,1442,1442,5,0,2,500,0,34,180500
20,13673,5,5,59,0,0,1140,1140,1696,1696,8,1,1,349,0,30,143900
20,12493,4,5,61,0,419,375,1100,1100,1100,6,1,1,312,355,0,141000
60,14364,7,5,33,128,1065,92,1157,1180,2062,7,1,2,454,60,55,277000
20,8250,6,7,57,260,787,305,1092,1092,1092,6,0,2,504,0,0,145000
30,5604,5,6,96,0,468,396,864,864,864,5,0,0,0,0,0,98000
20,10420,6,5,12,0,36,1176,1212,1212,1212,6,0,2,460,100,22,186000
60,8640,7,5,12,0,822,78,900,932,1852,7,1,2,644,168,108,252678
20,13568,5,5,26,0,716,274,990,990,990,5,0,2,576,224,0,156000
60,10900,6,7,44,153,378,311,689,689,1392,6,0,1,299,0,36,161750
20,10011,5,6,64,64,360,710,1070,1236,1236,6,1,1,447,0,0,134450
20,8450,7,5,17,266,946,490,1436,1436,1436,8,0,2,484,139,98,210000
70,9906,4,4,96,0,0,686,686,810,1328,8,0,1,210,0,172,107000
50,15660,7,9,82,312,341,457,798,1137,1954,8,2,2,431,0,119,311500
120,3010,7,5,16,16,16,1232,1248,1248,1248,5,0,2,438,108,0,167240
20,8990,7,5,15,0,0,1498,1498,1498,1498,5,0,2,675,351,33,204900
60,8068,6,5,19,0,0,1010,1010,1010,2267,8,1,2,390,120,46,200000
60,11475,6,6,46,0,550,163,713,811,1552,6,1,2,434,209,208,179900
20,10500,4,6,50,0,524,160,864,864,864,4,0,2,576,216,0,97000
20,13472,10,5,18,922,56,2336,2392,2392,2392,8,1,3,968,248,105,386250
160,1680,5,5,50,142,0,630,630,630,1302,6,0,1,280,0,0,112000
60,9950,7,5,26,290,565,638,1203,1214,2520,9,1,3,721,224,114,290000
160,1869,6,6,51,127,321,162,483,483,987,5,0,1,280,0,0,106000
20,8521,5,5,54,0,842,70,912,912,912,5,1,1,336,0,0,125000
120,3182,7,5,16,16,16,1357,1373,1555,1555,7,1,2,430,143,20,192500
20,8760,6,6,62,220,0,1194,1194,1194,1194,6,0,1,312,0,0,148000
60,15138,8,5,26,506,689,773,1462,1490,2794,9,1,3,810,0,146,403000
160,1680,6,5,49,297,0,483,483,483,987,5,1,1,288,0,0,94500
20,10650,5,6,45,0,182,0,894,894,894,5,0,1,308,365,0,128200
60,7851,6,5,19,NA,625,235,860,860,1960,8,2,2,440,288,48,216500
160,1680,6,3,50,604,358,125,483,483,987,5,0,1,264,0,0,89500
20,8773,7,5,17,98,24,1390,1414,1414,1414,6,0,2,494,132,105,185500
60,9453,7,7,28,0,402,594,996,1014,1744,7,0,2,457,370,70,194500
20,12030,8,5,14,254,0,1694,1694,1694,1694,7,0,3,818,168,228,318000
50,8741,6,4,76,0,94,641,735,798,1487,7,1,1,220,0,140,113000
20,9000,8,5,13,36,1078,488,1566,1566,1566,7,0,2,750,144,168,262500
30,3880,5,9,76,0,329,357,686,866,866,4,0,0,0,58,42,110500
50,5000,5,4,121,0,0,540,540,889,1440,6,0,1,352,0,0,79000
160,10762,6,6,41,0,0,626,626,626,1217,6,1,1,288,0,28,120000
60,8880,7,5,27,0,695,253,948,1222,2110,8,2,2,463,0,130,205000
20,10400,7,5,33,102,929,916,1845,1872,1872,6,1,2,604,197,39,241500
190,9142,6,8,111,0,0,1020,1020,908,1928,9,0,1,440,0,60,137000
20,11310,6,5,67,0,0,1367,1367,1375,1375,5,1,2,451,0,30,140000
60,11317,7,5,18,101,0,840,840,840,1668,8,0,2,500,144,68,180000
50,159000,6,7,63,472,697,747,1444,1444,2144,7,2,2,389,0,98,277000
30,5350,3,2,81,0,0,728,728,1306,1306,6,0,0,0,263,0,76500
120,4750,8,5,15,481,1573,0,1573,1625,1625,5,1,2,538,123,0,235000
60,8366,6,5,17,0,0,798,798,798,1640,6,0,2,520,138,45,173000
80,9350,6,7,57,108,270,452,1302,1302,1302,7,0,1,309,333,0,158000
20,8400,5,6,64,0,922,392,1314,1314,1314,5,0,1,294,250,0,145000
60,8738,7,5,22,302,0,975,975,1005,2291,8,1,2,429,192,0,230000
60,8791,6,5,18,0,503,361,864,864,1728,7,0,2,673,216,56,207500
20,8814,7,5,15,180,1334,270,1604,1604,1604,8,1,2,660,123,110,220000
60,12435,7,5,20,172,361,602,963,963,1792,7,1,2,564,0,96,231500
20,12702,5,5,65,0,0,0,0,882,882,4,0,1,308,0,45,97000
80,19296,6,5,59,399,672,0,1362,1382,1382,6,1,2,884,0,0,176000
60,9588,8,5,14,270,0,1482,1482,1482,2574,10,1,3,868,0,148,276000
80,8471,6,7,44,46,506,0,506,1212,1212,6,1,2,492,292,12,151000
50,5500,5,7,92,0,234,0,926,926,1316,6,0,2,484,0,0,130000
30,5232,5,5,96,0,0,680,680,764,764,4,0,2,504,0,0,73000
20,12090,6,6,40,210,588,606,1422,1422,1422,7,1,2,576,276,0,175500
60,11207,6,5,24,0,714,88,802,802,1511,8,1,2,413,95,75,185000
75,8400,5,8,82,0,378,342,720,1052,2192,8,1,1,240,262,24,179500
30,6900,5,6,81,0,403,212,740,778,778,4,1,1,924,0,25,120500
20,7917,6,7,45,174,751,392,1143,1113,1113,6,1,1,504,370,30,148000
60,10728,8,5,15,0,0,1095,1095,1095,1939,8,1,3,1053,192,51,266000
20,39104,7,7,67,0,226,96,1385,1363,1363,5,2,2,439,81,0,241500
60,11764,8,7,22,348,524,628,1152,1164,2270,9,1,3,671,132,57,290000
20,9600,6,6,63,183,620,0,1240,1632,1632,6,1,1,338,289,0,139000
20,8314,5,7,39,0,546,270,816,816,816,5,0,1,264,168,0,124500
50,7264,7,7,96,0,0,952,952,952,1548,5,0,2,672,74,0,205000
20,9196,7,5,18,0,0,1560,1560,1560,1560,7,0,2,573,100,150,201000
20,19138,4,5,70,0,120,744,864,864,864,4,0,2,400,0,0,141000
20,14450,9,5,15,315,0,2121,2121,2121,2121,8,1,3,732,124,98,415298
60,10005,7,5,44,299,392,768,1160,1156,2022,8,1,2,505,288,117,192000
60,11287,7,6,32,340,421,386,807,1175,1982,7,1,2,575,0,84,228500
20,7200,6,5,15,68,905,357,1262,1262,1262,5,0,2,572,0,120,185000
120,5063,7,5,14,166,904,410,1314,1314,1314,6,1,2,626,172,62,207500
20,9612,8,5,13,72,0,1468,1468,1468,1468,6,1,3,898,210,150,244600
120,8012,6,5,29,0,430,1145,1575,1575,1575,5,0,2,529,0,0,179200
160,4251,7,5,15,0,0,625,625,625,1250,5,0,2,528,0,54,164700
50,9786,6,7,59,0,600,312,912,1085,1734,7,1,2,440,0,0,159000
20,8125,4,4,50,0,614,244,858,858,858,5,0,0,0,0,0,88000
20,9819,5,5,54,31,450,432,882,900,900,5,0,1,280,0,0,122000
70,8730,6,7,106,0,0,698,698,698,1396,7,0,1,384,0,0,153575
60,15611,8,5,15,0,0,1079,1079,1079,1919,8,1,2,685,0,51,233230
190,5687,5,6,109,0,210,570,780,936,1716,9,0,0,0,0,184,135900
50,11409,5,4,72,0,292,476,768,1148,1716,8,1,1,281,0,0,131000
60,16659,7,7,44,34,795,0,795,1468,2263,9,1,2,539,0,250,235000
20,9600,6,5,68,238,1285,131,1416,1644,1644,7,2,2,418,110,0,167000
80,7937,6,6,37,0,819,184,1003,1003,1003,6,0,2,588,120,0,142500
50,13710,5,5,71,0,420,490,910,910,1558,6,0,1,282,289,0,152000
60,7399,7,5,24,1600,649,326,975,975,1950,7,1,2,576,0,10,239000
60,11700,6,6,53,365,384,143,702,1041,1743,7,1,2,539,224,0,175000
20,14000,6,8,71,0,0,1092,1092,1152,1152,6,1,1,300,0,36,158500
190,15750,5,5,68,56,841,324,1165,1336,1336,5,2,1,375,0,0,157000
60,16226,8,5,23,0,281,747,1028,1210,2452,9,1,2,683,208,50,267000
20,13704,7,5,20,150,0,1541,1541,1541,1541,6,1,3,843,468,81,205000
20,9800,5,7,49,0,894,0,894,894,894,5,0,2,552,256,0,149900
75,18386,7,9,141,0,0,1470,1470,1675,3493,10,1,3,870,302,0,295000
20,10386,8,5,17,246,1464,536,2000,2000,2000,8,0,3,888,168,0,305900
60,13474,7,5,31,246,700,0,700,1122,2243,8,1,3,746,127,44,225000
50,7920,6,7,101,0,0,319,319,1035,1406,6,0,0,0,0,144,89500
30,12342,4,5,81,0,262,599,861,861,861,4,0,2,539,158,0,82500
20,12378,9,5,18,0,1274,622,1896,1944,1944,8,3,3,708,208,175,360000
60,7685,6,5,28,112,518,179,697,697,1501,6,1,2,420,190,63,165600
20,8000,6,6,73,0,680,292,972,972,972,5,1,1,240,0,0,132000
190,7800,5,7,82,0,507,286,793,793,1118,5,1,2,410,0,0,119900
20,215245,7,5,56,0,1236,80,2136,2036,2036,8,2,2,513,0,0,375000
70,9600,7,7,96,0,16,712,728,832,1641,6,1,2,546,0,0,178000
60,7795,7,5,17,0,425,291,716,716,1432,6,1,2,432,100,51,188500
60,13005,7,7,41,278,692,153,845,1153,2353,10,1,2,484,288,195,260000
60,9000,8,5,15,0,0,1088,1088,1088,1959,8,1,3,1025,208,46,270000
60,9900,7,5,28,256,987,360,1347,1372,2646,9,1,3,656,340,60,260000
80,14115,7,5,41,225,1036,336,1372,1472,1472,6,2,2,588,233,48,187500
60,16259,9,5,15,370,0,1249,1249,1249,2596,9,0,3,840,240,154,342643
60,12099,8,5,17,388,970,166,1136,1136,2468,10,1,3,872,184,154,354000
60,10380,7,5,35,172,28,0,1502,1553,2730,8,1,2,576,201,96,301000
20,5820,3,8,66,0,256,906,1162,1163,1163,6,0,1,220,142,98,126175
80,11275,7,7,54,300,0,710,710,1898,2978,11,1,2,564,240,0,242000
45,5000,5,6,80,0,116,604,720,803,803,5,0,2,360,0,0,87000
120,10846,8,5,28,0,1619,100,1719,1719,1719,6,2,2,473,122,30,324000
20,11600,6,5,61,175,565,818,1383,1383,1383,7,0,1,292,0,45,145250
75,11888,6,6,105,0,0,844,844,1445,2134,10,0,2,441,0,60,214500
70,6402,5,5,101,0,0,596,596,596,1192,6,0,1,189,0,0,78000
90,10624,5,4,57,84,40,1424,1728,1728,1728,10,0,1,352,155,0,119000
20,8176,5,6,63,0,846,210,1056,1056,1056,6,0,1,308,0,0,139000
20,10655,8,5,18,296,1124,1603,3206,1629,1629,7,1,3,880,0,0,284000
120,8198,7,5,17,146,720,638,1358,1358,1358,6,1,2,484,192,30,207000
60,9042,6,5,23,0,828,115,943,943,1638,7,2,2,472,100,38,192000
190,164660,5,6,56,0,1249,103,1499,1619,1786,7,2,2,529,670,0,228950
20,14157,9,5,16,200,1249,673,1922,1922,1922,8,1,3,676,178,51,377426
20,9135,7,5,19,113,810,726,1536,1536,1536,7,0,2,532,192,74,214000
20,14145,7,7,37,0,213,995,1208,1621,1621,8,0,2,440,108,45,202500
20,12400,6,7,63,176,585,630,1215,1215,1215,6,0,1,297,0,0,155000
